id,title,location,url,description,scraped_at
736801,Infirmier en SMR (service de médecine et réadaptation respiratoire) F/H,Paris 13,https://recrutement.aphp.fr/jobs/736801,"Accueil Offres Infirmier en SMR (service de médecine et réadaptation respiratoire) F/H Résumé Infirmier en SMR (service de médecine et réadaptation respiratoire) F/H Paris 13 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital Pitié-Salpêtrière - 75 Paris 13 Titulaire ou CDD Postuler Retour à la liste des emplois Partager Infirmier en SMR (service de médecine et réadaptation respiratoire) F/H Paris 13 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital Pitié-Salpêtrière - 75 Paris 13 Titulaire ou CDD Partager Description du poste Métier Infirmier Type de contrat Titulaire ou CDD Rémunération Selon grille salariale Service d'affectation SMR Respiratoire Présentation du service Le service du SMR se situe dans le pavillon Bottard au 2ème étage, il est composé de 22 lits et prend en charge le handicap respiratoire. Le service prend en charge un nombre important de patients porteurs d’insuffisance respiratoire Chronique (BPCO au premier plan) et des pathologies neuromusculaires ayant un retentissement respiratoire. il fait partie du DMU APPROCHES déployé sur les sites de Ptiié Salpêtrière et Tenon. A ssistance respiratoire / Addictologie P neumologie P hysiologie R éanimation/Réhabilitation O ncologie C hirurgie Thoracique H andicap E ndoscopie S ommeil Vos missions 🚑 Missions Globales de l’IDE L’infirmier(ère) prend en charge chaque patient de façon globale et personnalisée, en garantissant des soins de qualité et adaptés, dans le respect du cadre légal et des bonnes pratiques. Concrètement : - Élaborer et suivre un projet de soins sur mesure - Tenir à jour le dossier infirmier grâce aux outils numériques - Accompagner le patient et son entourage via l’éducation thérapeutique (formation 40h) - Coordonner la prise en charge bio-psycho-sociale avec l’équipe pluridisciplinaire - Gérer les matériels, dispositifs médicaux et produits de l’unité (stock, entretien, traçabilité) - Appliquer et faire vivre les protocoles et procédures (hygiène, qualité, sécurité) - Activités Spécifiques (après formation + tutorat) - Soins et surveillance de patients équipés en appareillage respiratoire (O₂, VNI, trachéo) - Réalisation de gaz du sang artériels (radial + automate) - Conduite de séances d’éducation thérapeutique - Réagir efficacement en urgence respiratoire - Accueil et suivi de patients atteints de BPCO - Préparation et coordination des examens prescrits 👩‍⚕️ Activités Soins & Expertise - Expertise confirmée en appareillages respiratoires - Préparer le patient avant un transfert ou un examen (dossier, perfusion, prescriptions) - Vérifier et tracer les dispositifs (chariot d’urgence, HGT, frigos…) - Contrôle contradictoire des stupéfiants - Entretenir et réapprovisionner le poste et les chariots de soins - Participer au rangement et à la gestion logistique (médicaments, solutés, DMS…) 📚 Formation & Transmission - Mise à jour régulière des connaissances (≈ 5/an) - Participation à des études scientifiques, recherches et congrès - Encadrement et formation des étudiants IFSI (pédagogie, tutorat) - Participation aux staffs, réunions, projets du service - Implication active dans un management participatif et collaboratif 🌐 Activités au sein du DMU - Participation à des groupes de travail transversaux - Contribution aux audits internes - Force de proposition dans les projets d’amélioration continue 👉 En résumé : un rôle polyvalent, dynamique et stratégique, qui combine soins, expertise technique, pédagogie et innovation, toujours centré sur le patient et la qualité des prises en charge. Profil recherché Vous savez? 🩺 Réaliser les soins infirmiers et activités thérapeutiques adaptés à chaque situation, en respectant les protocoles d'hygiène et les bonnes pratiques. 🔎 Analyser et synthétiser les informations pour garantir la prise en charge globale et la continuité des soins. 🫂 Mettre en œuvre les actions répondant aux besoins du patient et de son entourage. ✅ Évaluer régulièrement les pratiques professionnelles pour assurer sécurité et qualité des soins. 🚨 Identifier et gérer les situations d'urgence. 🤝 Travailler en équipe interprofessionnelle et assurer le rôle propre infirmier en complémentarité avec l'aide-soignant(e). 🤗 Instaurer une relation de confiance avec le patient et son entourage. 🔒 Garantir le respect de la confidentialité et du secret professionnel. 🎓 Éduquer et conseiller le patient et ses proches. 📦 Connaître et gérer l'organisation des réserves et dispositifs médicaux. 💡 Compétences complémentaires Compétences en éducation thérapeutique et en appareillages respiratoires : non obligatoires, mais fortement valorisées. (Une formation initiale est assurée : simulations, théorie et terrain.) 🖥️ Connaissances associées Maîtrise de l'outil informatique hospitalier (ORBIS, PTAH, WEBCOPILOTE…) (Formation assurée pendant la période d'intégration.) 📌 Pré-requis 🎓 Diplôme d'État Infirmier 📅 Période d'intégration de 3 semaines prévue dans le service, dont 2 jours en unité d'appareillages respiratoires 🚑 AFGSU en cours de validation ou reprogrammé à l'arrivée 👉 Résultat : un profil infirmier à la fois technique, relationnel et évolutif, au cœur d'une équipe dynamique et engagée dans la qualité des soins. Venez travailler avec nous! Schéma horaire Jour Temps de travail 7h30 Horaires de travail grande équipe 7h30 Télétravail Non Vos avantages à l'AP-HP AVANTAGES LIÉS AU STATUT ET A LA FONCTION - Primes de service réservées aux nouveaux stagiaires et titulaires (versée en juin et décembre) - Supplément Familial de traitement pour les parents avec enfant(s) à charge - Accès à une offre de formation continue AIDE A L'INSTALLATION ET AU LOGEMENT - Prime d'installation : au cours de la 1ère année de stage pour les nouveaux diplômés - Aide à l'installation : jusqu'à 1000 € versés par l'Agospap sous conditions de ressources pour les titulaires et CDD sur poste permanent - Possibilité de logements provisoires sur site ou dans le cadre du dispositif Loc'appart pour les jeunes diplômés - Possibilité de logements pérennes à tarifs préférentiels pour les titulaires (dispositif Loc'appart pro) AVANTAGES SOCIAUX - Remboursement partiel des transports en commun ou forfait mobilité - Possibilité de parking - Possibilité de places en crèche disponibles - Accès au restaurant du personnel (tarif indexé à l'indice) - Prestations AGOSPAP (CE) : Accès à une offre de loisirs (spectacles, cinémas…) et de vacances à tarifs préférentiels pour les titulaires et CDD sur poste permanent - Plateforme HOPTISOINS : tarifs préférentiels chez nos partenaires (vie quotidienne, courses...) - Chèques emploi-service CESU AP-HP Description de l'hôpital Situé à Paris (13ème arrondissement), l'hôpital de la Pitié-Salpétrière est le premier groupe hospitalier français, regroupant 82 services répartis dans 90 bâtiments. C'est l'hôpital de référence notamment sur les spécialités suivantes : affections du système nerveux, pathologies cardio-vasculaires et métaboliques, pathologies infectieuses et immunitaires complexes, cancérologie et oncologie, greffe d'organe et de moelle osseuse, chirurgie, ou encore périnatalité. Référence de l'offre 2025-17978 Postuler Emplois similaires Infirmier en Chirurgie Digestive 12hr JOUR F/H Paris 13 Paramédical infirmier et infirmier spécialisé IBO(DE) UROLOGIE F/H Paris 13 Paramédical infirmier et infirmier spécialisé Infirmier en Soins Généraux Urologie Transplantation Rénale Paris 13 Paramédical infirmier et infirmier spécialisé Postuler Emplois similaires Infirmier en Chirurgie Digestive 12hr JOUR F/H Paris 13 Paramédical infirmier et infirmier spécialisé IBO(DE) UROLOGIE F/H Paris 13 Paramédical infirmier et infirmier spécialisé Infirmier en Soins Généraux Urologie Transplantation Rénale Paris 13 Paramédical infirmier et infirmier spécialisé",2026-03-21T00:30:40.540613
789742,Psychologue F/H en Réanimation Médicale,Paris 13,https://recrutement.aphp.fr/jobs/789742,"Accueil Offres Psychologue F/H en Réanimation Médicale Résumé Psychologue F/H en Réanimation Médicale Paris 13 Psychologue Psychologue Hôpital Pitié-Salpêtrière - 75 Paris 13 Titulaire ou CDD Postuler Retour à la liste des emplois Partager Psychologue F/H en Réanimation Médicale Paris 13 Psychologue Psychologue Hôpital Pitié-Salpêtrière - 75 Paris 13 Titulaire ou CDD Partager Description du poste Métier Psychologue Type de contrat Titulaire ou CDD Rémunération Selon grille salariale Service d'affectation Médecine Intensive et réanimation Présentation du service Le service de Médecine Intensive et Réanimation (MIR), au sein du département R3S sur le site de la Pitié Salpêtrière, est composé d'une équipe de professionnels engagés et compétents, mobilisés pour offrir des soins intensifs de haute qualité. Ce service comprend 15 lits de réanimation, 7 lits de Surveillance Continue et 12 lits de Soins de Rééducation Post Réanimation Respiratoire. Le rôle du psychologue en service de réanimation est à la fois clinique, relationnel et institutionnel. Il intervient dans un environnement très technique, marqué par l’urgence, la gravité des situations et une forte charge émotionnelle. Vos missions 🧠 1. Accompagnement des patients Le psychologue aide les patients à faire face à des situations extrêmes : Gestion de l’angoisse, de la douleur et du stress aigu Soutien lors de la prise de conscience de la gravité de l’état de santé Accompagnement des patients intubés ou non communicants (travail sur le non-verbal) Prévention ou prise en charge de troubles comme : stress post-traumatique (PTSD) délire de réanimation dépression post-hospitalisation 👨‍👩‍👧 2. Soutien aux familles Les proches peuvent être en état de choc : Accueil et soutien émotionnel dans l’attente et l’incertitude Aide à la compréhension de la situation médicale Accompagnement lors : - d’annonces graves - de décisions éthiques (limitation ou arrêt des soins) - Soutien dans les situations de deuil ou de fin de vie 👩‍⚕️ 3. Soutien aux équipes soignantes Le psychologue joue un rôle clé dans la dynamique d’équipe : Possibilité d'espaces de parole et de débriefing après situations difficiles Prévention de : - l’épuisement professionnel (burn-out) - la fatigue compassionnelle - Aide à la gestion des conflits ou tensions - Participation aux réflexions éthiques ⚖️ 4. Participation aux décisions éthiques Le psychologue est impliqué dans les moments critiques : Réflexion autour de la limitation ou arrêt des traitements Prise en compte de la dimension humaine et subjective Aide à la médiation entre : - équipe - patient (quand possible) - famille 🏥 5. Travail institutionnel et coordination Le psychologue s’inscrit dans une équipe pluridisciplinaire : Collaboration avec médecins, infirmiers, aides-soignants Transmission d’éléments utiles à la prise en charge globale Participation aux projets de service (qualité de vie, humanisation des soins) Contribution à la continuité des soins psychiques (aval, suivi post-réanimation) 🎯 En résumé Le psychologue en réanimation est un acteur pivot du soin global : Il prend en charge la souffrance psychique dans un contexte d’urgence vitale Il soutient patients, familles et soignants Il participe à la qualité des décisions et à l’humanité des soins Profil recherché Formation et qualifications Master 2 en psychologie clinique et psychopathologie Expérience ou spécialisation souhaitée en : psychologie de la santé milieu hospitalier ou situations critiques Connaissances en : Psychotraumatologie Soins palliatifs / fin de vie Schéma horaire Jour Temps de travail Administratif - Forfait Télétravail Oui Vos avantages à l'AP-HP AVANTAGES LIÉS AU STATUT ET A LA FONCTION - Primes de service réservées aux nouveaux stagiaires et titulaires (versée en juin et décembre) - Supplément Familial de traitement pour les parents avec enfant(s) à charge - Prime d'engagement collectif selon participation AVANTAGES SOCIAUX - Remboursement partiel des transports en commun ou forfait mobilité - Possibilité de parking , stationnement vélos - Accès au restaurant du personnel à tarifs avantageux - Prestations AGOSPAP (CE) : Accès à une offre de loisirs (spectacles, cinémas…) et de vacances à tarifs préférentiels pour les titulaires et CDD sur poste permanent - Plateforme HOPTISOINS : tarifs préférentiels chez nos partenaires (vie quotidienne, courses...) - Chèques emploi-service CESU AP-HP Description de l'hôpital Situé à Paris (13ème arrondissement), l'hôpital de la Pitié-Salpétrière est le premier groupe hospitalier français, regroupant 82 services répartis dans 90 bâtiments. C'est l'hôpital de référence notamment sur les spécialités suivantes : affections du système nerveux, pathologies cardio-vasculaires et métaboliques, pathologies infectieuses et immunitaires complexes, cancérologie et oncologie, greffe d'organe et de moelle osseuse, chirurgie, ou encore périnatalité. Référence de l'offre 2026-21123 Postuler Emplois similaires PSYCHOLOGUE CONSULTATION ONCOGENETIQUE 50% - PITIE SALPETRIERE F/H Paris 13 Psychologue Postuler Emplois similaires PSYCHOLOGUE CONSULTATION ONCOGENETIQUE 50% - PITIE SALPETRIERE F/H Paris 13 Psychologue",2026-03-21T00:30:40.827613
789594,Infirmier en Soins Généraux service de dermatologie - poste de nuit F/H,Paris 10,https://recrutement.aphp.fr/jobs/789594,"Accueil Offres Infirmier en Soins Généraux service de dermatologie - poste de nuit F/H Résumé Infirmier en Soins Généraux service de dermatologie - poste de nuit F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital Saint-Louis - 75 Paris 10 Titulaire ou CDI Postuler Retour à la liste des emplois Partager Infirmier en Soins Généraux service de dermatologie - poste de nuit F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital Saint-Louis - 75 Paris 10 Titulaire ou CDI Partager Description du poste Métier Infirmier Type de contrat Titulaire ou CDI Service d'affectation Dermatologie Présentation du service Le service de dermatologie du Pr BOUAZIZ dispose d’une unité d’hospitalisation complète de 36 lits répartis sur 2 secteurs Myosotis 5 (M5) et Trèfle 5 (T5) et d’un hôpital de jour inflammatoire sur le secteur de M5 (12 places de diagnostiques et thérapeutiques). Les activités du service sont rattachées à la policlinique de dermatologie qui assure l’ensemble de l’activité ambulatoire en consultation et la prise en charge des patients en hospitalisation de jour au centre d’onco dermatologie. La policlinique de dermatologie du Professeur BOUAZIZ est une structure ambulatoire qui assure : -    Une activité de consultation sur rendez-vous la journée du lundi au vendredi -    Une activité de consultation sans rendez-vous le matin du lundi au vendredi -    Des soins externes divers (10 secteurs) : chirurgies ambulatoires, prélèvements sanguins, pansement de phlébologie, puvathérapie, allergologie, simulateur solaire, bains de propreté et thérapeutique… -    Un centre d’onco dermatologie avec hospitalisation de jour comprenant des HDJ diagnostiques et thérapeutiques. Cette policlinique opère une activité de 31000 Cs/an assurée par une présence médicale de 30 à 40 médecins par jour. Ces activités sont rattachées à une unité d’hospitalisation complète de 36 lits répartis sur 2 sites (M5 et T5) et un hôpital de jour inflammatoire sur le site de M5 (8 lits) Vos missions Missions Générales : Assurer la prise charge optimale de la personne hospitalisée en veillant à la qualité des soins et travaillant en collaboration avec les équipes médicale et soignante selon le décret n°2004-802 du 29 juillet 2004 relatif aux actes professionnels et à l’exercice de la profession d’infirmier. Missions permanentes et générales : Ø    Dispenser les soins préventifs, curatifs, palliatifs, de nature technique, relationnelle et éducative en hospitalisation complète Ø    Assurer les soins d’hygiène et de confort requis par l’état de santé du patient. Ø    Participer au soutien du patient et de son entourage. Ø    Coordonner et organiser les soins requis par l’état de santé du patient. Ø    Assurer les transmissions orales et écrites de façon à permettre la continuité des soins. Ø    Assurer les tâches administratives relatives au patient entrant/sortant. Ø    Participer à l’entretien de l’environnement du patient. Ø    Participer à l’entretien et la maintenance du matériel bio médical Ø    Contribuer à l’élaboration, la mise en œuvre et le suivi des documents professionnels (documents d’information, dossiers de soins, protocoles, Gestion Electronique des Documents (GED) Ø    Maîtriser les règles d’hygiène et de sécurité selon les recommandations en vigueur. Ø    Assurer la traçabilité des actions réalisées en matière de sécurité (identitovigilance, hémovigilance, pharmacovigilance, matériovigilance, vérification du chariot d’urgence) Ø Travailler en lien avec les équipes transversales de l'établissement (douleur, USP, d'hygiène, diététique...) Ø    Participer à l’élaboration, la mise en œuvre et le suivi du projet de soins. Ø    Assurer la mise en service des protocoles et des procédures du service et de l’Établissement. Ø Travailler avec l’expert qualité du pôle et l’encadrement sur l’amélioration de la prise en charge du patient Ø Dossiers de soins informatisés (ORBIS). Ø Travail en binôme avec l’aide-soignant Missions ponctuelles : Ø Participer à la formation des étudiants aides-soignants et infirmiers Ø Participer aux différentes actions formatives du service, favoriser et participer à la démarche de recherche en soins infirmiers Ø Effectuer des retours des connaissances acquises en formation auprès de ses collègues Ø S’impliquer dans les projets du service Ø Participer aux commandes des matériels médicaux, hôteliers, aux rangements, aux divers contrôles qualité Ø Participer au rangement du poste de soins. Particularités de la fonction : Ø Collaboration permanente avec tous les acteurs du service qui fonctionnent sur les 2 secteurs. Ø Soutien moral des patients et des familles (atteinte corporelle, fin de vie, des patients en situation d’exclusion sociale) Profil recherché - Analyser une situation clinique - Concevoir et mettre en œuvre un projet de soins pour un groupe de patients - Connaître les textes professionnels - Identifier, analyser des situations d'urgence spécifiques à son domaine de compétence et définir les actions - Identifier, analyser, évaluer et prévenir les risques relevant de son domaine, définir les actions correctives/préventives Schéma horaire Nuit Temps de travail 12h Horaires de travail 12H de nuit soit 19h00-07h11 Télétravail Non Vos avantages à l'AP-HP AVANTAGES LIÉS AU STATUT ET A LA FONCTION - Primes de service réservées aux nouveaux stagiaires et titulaires (versée en juin et décembre) - Supplément Familial de traitement pour les parents avec enfant(s) à charge - Accès à une offre de formation continue conséquente AIDE A L'INSTALLATION ET AU LOGEMENT - Prime d'installation : 1947 € nets au cours de la 1ère année de stage pour les nouveaux diplômés - Aide à l'installation : jusqu'à 1000 € versés par l'Agospap sous conditions de ressources pour les titulaires et CDD sur poste permanent - Possibilité de logements provisoires sur site ou dans le cadre du dispositif Loc'appart pour les jeunes diplômés - Possibilité de logements pérennes à tarifs préférentiels pour les titulaires (dispositif Loc'appart pro) AVANTAGES SOCIAUX - Remboursement partiel des transports en commun ou forfait mobilité - Possibilité de parking - Places place en crèche disponibles (politique de zéro refus) - Accès au restaurant du personnel (tarif indexé à l'indice) - Prestations AGOSPAP (CE) : Accès à une offre de loisirs (spectacles, cinémas…) et de vacances à tarifs préférentiels pour les titulaires et CDD sur poste permanent - Plateforme HOPTISOINS : tarifs préférentiels chez nos partenaires (vie quotidienne, courses...) - Chèques emploi-service CESU AP-HP Description de l'hôpital Situé à Paris (10è arrondissement), l'hôpital Saint-Louis est reconnu au plan national et international en hématologie, dermatologie, cancérologie, infectiologie ainsi que dans le domaine des greffes d'organe et de moelle osseuse. Il possède également une expertise de haut niveau en chirurgie digestive, urologique et plastique. Il assure la prise en charge des grands brûlés en qualité de centre de recours régional. Référence de l'offre 2026-21118 Postuler Emplois similaires Infirmier polyvalent - policlinique de dermatologie F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier - Hématologie Immunologie 12H jour    F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier nuit  Immunopathologie clinique 12h F/H Paris 10 Paramédical infirmier et infirmier spécialisé Postuler Emplois similaires Infirmier polyvalent - policlinique de dermatologie F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier - Hématologie Immunologie 12H jour    F/H Paris 10 Paramédical infirmier et infirmier spécialisé Infirmier nuit  Immunopathologie clinique 12h F/H Paris 10 Paramédical infirmier et infirmier spécialisé",2026-03-21T00:30:41.054736
789538,Infirmier en Hospitalisation de Chirurgie Orthopédique et Traumatologie,Paris 15,https://recrutement.aphp.fr/jobs/789538,"Accueil Offres Infirmier en Hospitalisation de Chirurgie Orthopédique et Traumatologie Résumé Infirmier en Hospitalisation de Chirurgie Orthopédique et Traumatologie Paris 15 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital européen Georges-Pompidou - 75 Paris 15 Titulaire ou CDI Postuler Retour à la liste des emplois Partager Infirmier en Hospitalisation de Chirurgie Orthopédique et Traumatologie Paris 15 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital européen Georges-Pompidou - 75 Paris 15 Titulaire ou CDI Partager Description du poste Métier Infirmier Type de contrat Titulaire ou CDI Service d'affectation Chirurgie orthopédique Présentation du service Département médico-universitaire(DMU) Appareil LOCOMOTEUR (501) Activités: Hospitalisation Conventionnelle (HC), Consultation - SOS rachis et SOS membre supérieur, Bloc opératoire, Plateau de rééducation Service de chirurgie orthopédique et traumatologie Service du Pr GUIGUI Une équipe transversale vous accompagne pour vous permettre d'être au cœur du soin et de redonner du temps soignant : - Un logisticien - Une IDE RAAC : experte en soin, elle vous accompagne dans les pansements et les prises en charge complexes / Tutrice des étudiants / référente sur le parcours RAAC (Récupération Amélioré Après Chirurgie) - Une gestionnaire de parcours : gestion des lits - Une secrétaire hospitalière Un réseau de ressources, sur le site de l'HEGP, vous accompagne dans la prise en charges des patients (Equipe mobile de la douleur, équipe de plaies et cicatrisations) LIAISONS HIERARCHIQUES Directeur des soins, Cadre paramédical de DMU, Cadre supérieur, Cadre de santé Vos missions - Soins: dans le respect des missions de service public et de la réglementation professionnelle (décret du 29 Juillet 2004 du Code de la Santé Publique), l’infirmier participe à la continuité, la qualité des soins et la sécurité des patients hospitalisés en chirurgie orthopédique. Sur l’unité d’affectation quotidienne, il assure l’organisation, la mise en œuvre, le suivi et l’évaluation des soins (à visée préventive, diagnostique, thérapeutique) tout au long du parcours du patient. - Coordonner et organiser la prise en charge globale avec les différents partenaires médicaux, paramédicaux et sociaux - Assurer le suivi de l’information, la traçabilité, la tenue et l’optimisation du dossier de soins - Connaître et respecter les procédures - Participer et collaborer à la gestion des lits avec la secrétaire hospitalière et la gestionnaire de parcours - Participer aux campagnes de certification et à la démarche qualité - Participer aux CLIN, CLAN, CLUD, CSTH… - Participer au contrôle mensuel du chariot d’urgence - Participer au contrôle quotidien des stupéfiants et à la fonctionnalité des équipements - Participer à la gestion des commandes de matériels de soins et de médicaments - Participer à la gestion du matériel biomédical - Participer et collaborer aux actions de formations et de recherche au sein du service - Participer à la formation et l’accompagnement de ses pairs et des étudiants - Evaluer, actualiser et faire évoluer les pratiques professionnelles dans son domaine de compétence CONTRIBUER EN TOUTE SITUATION AU BON FONCTIONNEMENT DU SERVICE - Gestion des lits sur les weekend et jour férié en alternance avec les autres infirmières du service. Mission attribuée à compter de 6 mois de prise de poste. Profil recherché PRE-REQUIS QUALITES ET COMPETENCES - Compétences techniques et relationnelles, polyvalence et travail en équipe. - Appareil locomoteur (anatomie-physiologie-pathologie) - Acte transfusionnel - Sécurisation du circuit du médicament - Réglementation hospitalière - Hygiène hospitalière DIPLOMES ET OUTILS Diplôme d'état infirmier Schéma horaire Jour Temps de travail 12h Horaires de travail Horaire en 12h de jour sur une amplitude de 7h/19h, 8h/20h et 9h30/21h30  - Wkend / JF Télétravail Non Vos avantages à l'AP-HP v Equipe transverse au sein du service pour permettre aux soignants d’être au cœur du soin v Valorisation financière (primes diverses, intégration des mesures du Ségur de la Santé…) v Formation continue au sein du service v Expertise sur la «douleur», et sur les « plaies et cicatrisations» v Places en crèche disponibles v Self, possibilité de place de parking, politique sociale attractive (tarifs avantageux sur les loisirs, vacances…) v Remboursement à 75% du titre de transport v Plateforme «Hoptisoins»: tarifs préférentiels chez nos partenaires (vie quotidienne, courses…) v Possibilité d’évolution, de promotion professionnelle et de formation au sein du GHU. L’encadrement est à l’écoute de vos souhaits de carrière. Description de l'hôpital Situé à Paris (15ème arrondissement), l'Hôpital européen Georges-Pompidou est reconnu pour son expertise des pathologies de l'adulte notamment dans les domaines cardiovasculaire et rénal, du cancer et des urgences. Il est doté de plateaux techniques complets et performants d'imagerie, de radiologie interventionnelle et de biologie et bénéficie d'une infrastructure moderne. Référence de l'offre 2026-21112 Postuler Emplois similaires Infirmier(e) en Consultations Pluridisciplinaires  et au Laboratoire d'échographie Paris 15 Paramédical infirmier et infirmier spécialisé Bloc maternité - Infirmier au  Bloc Opératoire (IBODE ou IBO) F/H = TITU, CDD, VACATAIRE F/H Paris 15 Paramédical infirmier et infirmier spécialisé INFIRMIERE PUERICULTRICE EN CRECHE F/H Paris 15 Paramédical infirmier et infirmier spécialisé Postuler Emplois similaires Infirmier(e) en Consultations Pluridisciplinaires  et au Laboratoire d'échographie Paris 15 Paramédical infirmier et infirmier spécialisé Bloc maternité - Infirmier au  Bloc Opératoire (IBODE ou IBO) F/H = TITU, CDD, VACATAIRE F/H Paris 15 Paramédical infirmier et infirmier spécialisé INFIRMIERE PUERICULTRICE EN CRECHE F/H Paris 15 Paramédical infirmier et infirmier spécialisé",2026-03-21T00:30:41.305738
789447,Infirmier en SSPI Trauma Center et USC,Paris 15,https://recrutement.aphp.fr/jobs/789447,"Accueil Offres Infirmier en SSPI Trauma Center et USC Résumé Infirmier en SSPI Trauma Center et USC Paris 15 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital européen Georges-Pompidou - 75 Paris 15 Titulaire ou CDI Labellisé service apprenant Postuler Retour à la liste des emplois Partager Infirmier en SSPI Trauma Center et USC Paris 15 Paramédical infirmier et infirmier spécialisé Infirmier Hôpital européen Georges-Pompidou - 75 Paris 15 Titulaire ou CDI Labellisé service apprenant Partager Description du poste Métier Infirmier Type de contrat Titulaire ou CDI Rémunération Selon grille indiciaire Service d'affectation SSPI Trauma Center et USC Présentation du service Vous travaillez au sein d’une équipe dynamique, au cœur d’un service comprenant : - 1 SSPI traumatologique (Trauma Center) de 16 emplacements dont 2 dédiés au déchocage - 1 SSPI de 12 emplacements - 1 USC de 16 lits Le service est spécialisé dans la prise en charge de patients en post‑opératoire de chirurgie orthopédique, viscérale, thoracique, gynécologique, urologique, ORL et thoracique. Il assure également l’accueil et la prise en charge de patients en urgence vitale (SAMU) au sein de la SSPIT. Un service labellisé « Service Apprenant » Une période d’intégration personnalisée comprenant un tutorat renforcé par des professionnels expérimentés, des bilans d’intégration réguliers, un carnet de suivi d’acquisition des compétences. Un accompagnement et un développement des compétences en continu qui se poursuit tout au long de la première année, avec des formations sur l’ECMO, IOT, ACR, des séances de simulations dédiées à la gestion des urgences vitales et des cours spécifiques aux pratiques du service. Vos missions Assurer la prise en charge et la surveillance rapprochée des patients en SSPI et en USC. Accueillir et prendre en charge les urgences relatives et absolues. Travailler en équipe dans un esprit de bienveillance en se répartissant la charge de travail selon les compétences de chacun. Acquérir, maintenir et actualiser la maitrise des soins techniques de réanimation. Participer à l’élaboration des procédures de soins. Développer ses connaissances en s’impliquant activement dans les formations et congrès proposés. Participer à l’encadrement, à l’intégration et au soutien des nouveaux arrivants. Profil recherché Vous êtes titulaire d'un diplôme d'infirmier (IDE). Vous souhaitez rejoindre un employeur qui vous offre de multiples possibilités de carrière et qui vous accompagnera dans le développement de vos compétences. Vous mettez la qualité des soins et le bien-être du patient au cœur de vos préoccupations. Nous attendons votre candidature ! Les qualités recherchées : -	Sens des responsabilités et sens du service public. -	Sens de l'organisation et de la gestion -	Disponibilité, esprit d'équipe -	Gestion des situations d'urgence -	Aptitude pédagogique Schéma horaire Alternance Jour/Nuit Temps de travail 12h Horaires de travail 12 H : Alternance jour/nuit toutes les 12 semaines Télétravail Non Vos avantages à l'AP-HP AVANTAGES LIÉS AU STATUT ET A LA FONCTION : Valorisation financière (primes de soins critiques, primes de service, intégration des mesures du Ségur de la Santé…) Places en crèche disponibles Accès à des formations (cours, simulations, ateliers, …) Mobilité possible au sein du service, favorisant l’enrichissement des compétences et la polyvalence Prime d'installation : 1947 € nets au cours de la 1ère année de stage pour les nouveaux diplômés Possibilité de logements provisoires sur site ou à tarifs préférentiels dans le parc APHP pour les titulaires Self, possibilité de place de parking, AGOSPAP (tarifs avantageux sur les loisirs, vacances…) Labellisé service apprenant Labellisé service apprenant Description de l'hôpital Situé à Paris (15ème arrondissement), l'Hôpital européen Georges-Pompidou est reconnu pour son expertise des pathologies de l'adulte notamment dans les domaines cardiovasculaire et rénal, du cancer et des urgences. Il est doté de plateaux techniques complets et performants d'imagerie, de radiologie interventionnelle et de biologie et bénéficie d'une infrastructure moderne. Référence de l'offre 2026-21105 Postuler Emplois similaires Infirmier(e) en Consultations Pluridisciplinaires  et au Laboratoire d'échographie Paris 15 Paramédical infirmier et infirmier spécialisé Bloc maternité - Infirmier au  Bloc Opératoire (IBODE ou IBO) F/H = TITU, CDD, VACATAIRE F/H Paris 15 Paramédical infirmier et infirmier spécialisé INFIRMIERE PUERICULTRICE EN CRECHE F/H Paris 15 Paramédical infirmier et infirmier spécialisé Postuler Emplois similaires Infirmier(e) en Consultations Pluridisciplinaires  et au Laboratoire d'échographie Paris 15 Paramédical infirmier et infirmier spécialisé Bloc maternité - Infirmier au  Bloc Opératoire (IBODE ou IBO) F/H = TITU, CDD, VACATAIRE F/H Paris 15 Paramédical infirmier et infirmier spécialisé INFIRMIERE PUERICULTRICE EN CRECHE F/H Paris 15 Paramédical infirmier et infirmier spécialisé",2026-03-21T00:30:41.506635
